URL,Player,From,To,Pos,Ht,Wt,DOB,College
/players/a/acyqu01.html,Quincy Acy,2013,2016,F,6-7,240,October 6  1990,Baylor University
/players/a/adamsjo01.html,Jordan Adams,2015,2016,G,6-5,209,July 8  1994,University of California  Los Angeles
/players/a/adamsst01.html,Steven Adams,2014,2016,C,7-0,255,July 20  1993,University of Pittsburgh
/players/a/adrieje01.html,Jeff Adrien,2011,2015,F,6-7,245,February 10  1986,University of Connecticut
/players/a/afflaar01.html,Arron Afflalo,2008,2016,G,6-5,210,October 15  1985,University of California  Los Angeles
/players/a/ajincal01.html,Alexis Ajinca,2009,2016,C,7-2,248,May 6  1988,
/players/a/akognjo01.html,Josh Akognon,2013,2013,G,5-11,185,February 10  1986,California State University  Fullerton
/players/a/alabiso01.html,Solomon Alabi,2011,2012,C,7-1,251,March 21  1988,Florida State University
/players/a/aldemfu01.html,Furkan Aldemir,2015,2015,F-C,6-10,240,August 9  1991,
/players/a/aldrico01.html,Cole Aldrich,2011,2016,C,6-11,250,October 31  1988,University of Kansas
/players/a/aldrila01.html,LaMarcus Aldridge,2007,2016,F,6-11,240,July 19  1985,University of Texas at Austin
/players/a/alexacl01.html,Cliff Alexander,2016,2016,F,6-8,240,November 16  1995,University of Kansas
/players/a/allenla01.html,Lavoy Allen,2012,2016,F-C,6-9,255,February 4  1989,Temple University
/players/a/allento01.html,Tony Allen,2005,2016,G-F,6-4,213,January 11  1982,Oklahoma State University
/players/a/aminual01.html,Al-Farouq Aminu,2011,2016,F,6-9,215,September 21  1990,Wake Forest University
/players/a/amundlo01.html,Lou Amundson,2007,2016,F,6-9,220,December 7  1982,University of Nevada  Las Vegas
/players/a/anderch01.html,Chris Andersen,2002,2016,F-C,6-10,245,July 7  1978,Blinn College
/players/a/anderal01.html,Alan Anderson,2006,2015,G-F,6-6,220,October 16  1982,Michigan State University
/players/a/anderja01.html,James Anderson,2011,2016,G-F,6-6,213,March 25  1989,Oklahoma State University
/players/a/anderju01.html,Justin Anderson,2016,2016,G,6-6,228,November 19  1993,University of Virginia
/players/a/anderky01.html,Kyle Anderson,2015,2016,G-F,6-9,230,September 20  1993,University of California  Los Angeles
/players/a/anderry01.html,Ryan Anderson,2009,2016,F,6-10,240,May 6  1988,University of California
/players/a/antetgi01.html,Giannis Antetokounmpo,2014,2016,F-G,6-11,222,December 6  1994,
/players/a/antetth01.html,Thanasis Antetokounmpo,2016,2016,F,6-7,205,July 17  1992,
/players/a/anthoca01.html,Carmelo Anthony,2004,2016,F,6-8,240,May 29  1984,Syracuse University
/players/a/anthojo01.html,Joel Anthony,2008,2016,C,6-9,245,August 9  1982,University of Nevada  Las Vegas
/players/a/anticpe01.html,Pero Antic,2014,2015,F,6-11,260,July 29  1982,
/players/a/applike01.html,Keith Appling,2016,2016,G,6-1,185,February 13  1992,Michigan State University
/players/a/arizatr01.html,Trevor Ariza,2005,2016,F,6-8,215,June 30  1985,University of California  Los Angeles
