Name,Season,Team,Lg,Salary
Quincy Acy,2012-13,Toronto Raptors,NBA,665000
Quincy Acy,2013-14,Toronto Raptors,NBA,788872
Quincy Acy,2014-15,New York Knicks,NBA,915243
Quincy Acy,2015-16,Sacramento Kings,NBA,981348
Quincy Acy,2016-17,Sacramento Kings,NBA,1050961
Jordan Adams,2014-15,Memphis Grizzlies,NBA,1344120
Jordan Adams,2015-16,Memphis Grizzlies,NBA,1404600
Jordan Adams,2016-17,Memphis Grizzlies,NBA,1465080
Jordan Adams,2017-18,Memphis Grizzlies,NBA,2410057
Steven Adams,2013-14,Oklahoma City Thunder,NBA,2090880
Steven Adams,2014-15,Oklahoma City Thunder,NBA,2184960
Steven Adams,2015-16,Oklahoma City Thunder,NBA,2279040
Steven Adams,2016-17,Oklahoma City Thunder,NBA,3140517
Jeff Adrien,2010-11,Golden State Warriors,NBA,342666
Jeff Adrien,2011-12,Houston Rockets,NBA,270427
Jeff Adrien,2012-13,Charlotte Bobcats,NBA,804131
Jeff Adrien,2013-14,Charlotte Bobcats,NBA,916099
Jeff Adrien,2014-15,Houston Rockets,NBA,981084
Arron Afflalo,2007-08,Detroit Pistons,NBA,944520
Arron Afflalo,2008-09,Detroit Pistons,NBA,1015440
Arron Afflalo,2009-10,Denver Nuggets,NBA,1086240
Arron Afflalo,2010-11,Denver Nuggets,NBA,1959577
Arron Afflalo,2011-12,Denver Nuggets,NBA,7562500
Arron Afflalo,2012-13,Orlando Magic,NBA,7750000
Arron Afflalo,2013-14,Orlando Magic,NBA,7312500
Arron Afflalo,2014-15,Portland Trail Blazers,NBA,7750000
Arron Afflalo,2015-16,New York Knicks,NBA,8000000
Arron Afflalo,2016-17,New York Knicks,NBA,8000000
Alexis Ajinca,2008-09,Charlotte Bobcats,NBA,1276320
Alexis Ajinca,2009-10,Charlotte Bobcats,NBA,1372080
Alexis Ajinca,2010-11,Toronto Raptors,NBA,1467840
Alexis Ajinca,2014-15,New Orleans Pelicans,NBA,981084
Alexis Ajinca,2015-16,New Orleans Pelicans,NBA,4300000
Alexis Ajinca,2016-17,New Orleans Pelicans,NBA,4600000
Alexis Ajinca,2017-18,New Orleans Pelicans,NBA,4900000
Alexis Ajinca,2018-19,New Orleans Pelicans,NBA,5300000
Josh Akognon,2013-14,Memphis Grizzlies,NBA,788872
Solomon Alabi,2010-11,Toronto Raptors,NBA,770000
Solomon Alabi,2011-12,Toronto Raptors,NBA,830000
Furkan Aldemir,2014-15,Philadelphia 76ers,NBA,3000000
