Name,Season,Team,Lg,Salary
Mahmoud Abdul-Rauf,1990-91,Denver Nuggets,NBA,1660000
Mahmoud Abdul-Rauf,1991-92,Denver Nuggets,NBA,2008000
Mahmoud Abdul-Rauf,1992-93,Denver Nuggets,NBA,2358000
Mahmoud Abdul-Rauf,1993-94,Denver Nuggets,NBA,1825000
Mahmoud Abdul-Rauf,1994-95,Denver Nuggets,NBA,2200000
Mahmoud Abdul-Rauf,1995-96,Denver Nuggets,NBA,2600000
Mahmoud Abdul-Rauf,1996-97,Sacramento Kings,NBA,3100000
Mahmoud Abdul-Rauf,1997-98,Sacramento Kings,NBA,3300000
Mahmoud Abdul-Rauf,2000-01,Vancouver Grizzlies,NBA,798500
Tariq Abdul-Wahad,1997-98,Sacramento Kings,NBA,1226880
Tariq Abdul-Wahad,1998-99,Sacramento Kings,NBA,1411000
Tariq Abdul-Wahad,1999-00,Denver Nuggets,NBA,1594920
Tariq Abdul-Wahad,2000-01,Denver Nuggets,NBA,4500000
Tariq Abdul-Wahad,2001-02,Denver Nuggets,NBA,5062500
Tariq Abdul-Wahad,2002-03,Dallas Mavericks,NBA,5625000
Tariq Abdul-Wahad,2003-04,Dallas Mavericks,NBA,6187500
Tariq Abdul-Wahad,2004-05,Dallas Mavericks,NBA,6750000
Tariq Abdul-Wahad,2005-06,Dallas Mavericks,NBA,3656250
Tariq Abdul-Wahad,2006-07,Dallas Mavericks,NBA,1968750
Shareef Abdur-Rahim,1996-97,Vancouver Grizzlies,NBA,2186000
Shareef Abdur-Rahim,1999-00,Vancouver Grizzlies,NBA,9000000
Shareef Abdur-Rahim,2000-01,Vancouver Grizzlies,NBA,10130000
Shareef Abdur-Rahim,2001-02,Atlanta Hawks,NBA,11250000
Shareef Abdur-Rahim,2002-03,Atlanta Hawks,NBA,12375000
Shareef Abdur-Rahim,2003-04,Atlanta Hawks,NBA,13500000
Shareef Abdur-Rahim,2004-05,Portland Trail Blazers,NBA,14625000
Shareef Abdur-Rahim,2005-06,Sacramento Kings,NBA,5000000
Shareef Abdur-Rahim,2006-07,Sacramento Kings,NBA,5400000
Shareef Abdur-Rahim,2007-08,Sacramento Kings,NBA,5800000
