Player,From,To,Pos,Ht,Wt,DOB,College
Quincy Acy,2013,2016,F,6-7,240,October 6  1990,Baylor University
Jordan Adams,2015,2016,G,6-5,209,July 8  1994,University of California  Los Angeles
Steven Adams,2014,2016,C,7-0,255,July 20  1993,University of Pittsburgh
Jeff Adrien,2011,2015,F,6-7,245,February 10  1986,University of Connecticut
Arron Afflalo,2008,2016,G,6-5,210,October 15  1985,University of California  Los Angeles
Alexis Ajinca,2009,2016,C,7-2,248,May 6  1988,
Josh Akognon,2013,2013,G,5-11,185,February 10  1986,California State University  Fullerton
Solomon Alabi,2011,2012,C,7-1,251,March 21  1988,Florida State University
Furkan Aldemir,2015,2015,F-C,6-10,240,August 9  1991,
Cole Aldrich,2011,2016,C,6-11,250,October 31  1988,University of Kansas
LaMarcus Aldridge,2007,2016,F,6-11,240,July 19  1985,University of Texas at Austin
Cliff Alexander,2016,2016,F,6-8,240,November 16  1995,University of Kansas
Lavoy Allen,2012,2016,F-C,6-9,255,February 4  1989,Temple University
Tony Allen,2005,2016,G-F,6-4,213,January 11  1982,Oklahoma State University
Al-Farouq Aminu,2011,2016,F,6-9,215,September 21  1990,Wake Forest University
Lou Amundson,2007,2016,F,6-9,220,December 7  1982,University of Nevada  Las Vegas
Chris Andersen,2002,2016,F-C,6-10,245,July 7  1978,Blinn College
Alan Anderson,2006,2015,G-F,6-6,220,October 16  1982,Michigan State University
James Anderson,2011,2016,G-F,6-6,213,March 25  1989,Oklahoma State University
Justin Anderson,2016,2016,G,6-6,228,November 19  1993,University of Virginia
Kyle Anderson,2015,2016,G-F,6-9,230,September 20  1993,University of California  Los Angeles
Ryan Anderson,2009,2016,F,6-10,240,May 6  1988,University of California
Giannis Antetokounmpo,2014,2016,F-G,6-11,222,December 6  1994,
Thanasis Antetokounmpo,2016,2016,F,6-7,205,July 17  1992,
Carmelo Anthony,2004,2016,F,6-8,240,May 29  1984,Syracuse University
Joel Anthony,2008,2016,C,6-9,245,August 9  1982,University of Nevada  Las Vegas
Pero Antic,2014,2015,F,6-11,260,July 29  1982,
Keith Appling,2016,2016,G,6-1,185,February 13  1992,Michigan State University
Trevor Ariza,2005,2016,F,6-8,215,June 30  1985,University of California  Los Angeles
Hilton Armstrong,2007,2014,F-C,6-11,235,November 11  1984,University of Connecticut
Darrell Arthur,2009,2016,F,6-9,235,March 25  1988,University of Kansas
Omer Asik,2011,2016,C,7-0,255,July 4  1986,
D.J. Augustin,2009,2016,G,6-0,183,November 10  1987,University of Texas at Austin
Gustavo Ayon,2012,2014,C,6-10,250,April 1  1985,
Jeff Ayres,2010,2016,F,6-9,240,April 29  1987,Arizona State University
Chris Babb,2014,2014,G,6-5,225,February 14  1990,Iowa State University
Luke Babbitt,2011,2016,F,6-9,225,June 20  1989,University of Nevada  Reno
Cameron Bairstow,2015,2016,F-C,6-9,250,December 7  1990,University of New Mexico
Renaldo Balkman,2007,2012,F,6-8,208,July 14  1984,University of South Carolina
Leandro Barbosa,2004,2016,G,6-3,194,November 28  1982,
J.J. Barea,2007,2016,G,6-0,185,June 26  1984,Northeastern University
Andrea Bargnani,2007,2016,F-C,7-0,245,October 26  1985,
Harrison Barnes,2013,2016,F,6-8,210,May 30  1992,University of North Carolina
Matt Barnes,2004,2016,F,6-7,226,March 9  1980,University of California  Los Angeles
Earl Barron,2006,2015,C,7-0,250,August 14  1981,University of Memphis
Will Barton,2013,2016,G,6-6,175,January 6  1991,University of Memphis
Brandon Bass,2006,2016,F,6-8,250,April 30  1985,Louisiana State University
Nicolas Batum,2009,2016,F-G,6-8,200,December 14  1988,
Jerryd Bayless,2009,2016,G,6-3,200,August 20  1988,University of Arizona
Aron Baynes,2013,2016,F-C,6-10,260,December 9  1986,Washington State University
Kent Bazemore,2013,2016,G-F,6-5,201,July 1  1989,Old Dominion University
Bradley Beal,2013,2016,G,6-5,207,June 28  1993,University of Florida
Michael Beasley,2009,2015,F,6-9,235,January 9  1989,Kansas State University
Rodrigue Beaubois,2010,2013,G,6-0,170,February 24  1988,
Marco Belinelli,2008,2016,G-F,6-5,210,March 25  1986,
Jerrelle Benimon,2015,2015,F,6-8,245,August 1  1991,Towson University
Anthony Bennett,2014,2016,F,6-8,245,March 14  1993,University of Nevada  Las Vegas
Keith Benson,2012,2012,C,6-11,240,August 13  1988,Oakland University
Patrick Beverley,2013,2016,G,6-1,185,July 12  1988,University of Arkansas
Sim Bhullar,2015,2015,C,7-5,360,December 2  1992,New Mexico State University
Andris Biedrins,2005,2014,C,6-11,240,April 2  1986,
Bismack Biyombo,2012,2016,C-F,6-9,245,August 28  1992,
Nemanja Bjelica,2016,2016,F,6-10,240,May 9  1988,
Tarik Black,2015,2016,C-F,6-9,250,November 22  1991,University of Kansas
DeJuan Blair,2010,2016,F-C,6-7,270,April 22  1989,University of Pittsburgh
Steve Blake,2004,2016,G,6-3,172,February 26  1980,University of Maryland
Andray Blatche,2006,2014,F,6-11,235,August 22  1986,
Eric Bledsoe,2011,2016,G,6-1,190,December 9  1989,University of Kentucky
Vander Blue,2014,2015,G,6-4,200,July 17  1992,Marquette University
Keith Bogans,2004,2014,G-F,6-5,215,May 12  1980,University of Kentucky
Bojan Bogdanovic,2015,2016,G-F,6-8,216,April 18  1989,
Andrew Bogut,2006,2016,C,7-0,260,November 28  1984,University of Utah
Matt Bonner,2005,2016,F,6-10,235,April 5  1980,University of Florida
Devin Booker,2016,2016,G,6-6,206,October 30  1996,University of Kentucky
Trevor Booker,2011,2016,F,6-8,228,November 25  1987,Clemson University
Carlos Boozer,2003,2015,F-C,6-9,258,November 20  1981,Duke University
Chris Bosh,2004,2016,F-C,6-11,235,March 24  1984,Georgia Institute of Technology
Avery Bradley,2011,2016,G,6-2,180,November 26  1990,University of Texas at Austin
Elton Brand,2000,2015,F,6-8,275,March 11  1979,Duke University
Corey Brewer,2008,2016,F-G,6-9,186,March 5  1986,University of Florida
Ronnie Brewer,2007,2014,G-F,6-7,220,March 20  1985,University of Arkansas
Aaron Brooks,2008,2016,G,6-0,161,January 14  1985,University of Oregon
MarShon Brooks,2012,2014,G-F,6-5,200,January 26  1989,Providence College
Anthony Brown,2016,2016,F,6-7,210,October 10  1992,Stanford University
Jabari Brown,2015,2015,G,6-4,215,December 18  1992,University of Missouri
Lorenzo Brown,2014,2016,G,6-5,189,August 26  1990,North Carolina State University
Markel Brown,2015,2016,G,6-3,190,January 29  1992,Oklahoma State University
Shannon Brown,2007,2015,G,6-4,205,November 29  1985,Michigan State University
Kobe Bryant,1997,2016,G-F,6-6,212,August 23  1978,
Chase Budinger,2010,2016,F,6-7,209,May 22  1988,University of Arizona
Reggie Bullock,2014,2016,G-F,6-7,205,March 16  1991,University of North Carolina
Trey Burke,2014,2016,G,6-1,191,November 12  1992,University of Michigan
Alec Burks,2012,2016,G,6-6,214,July 20  1991,University of Colorado
Caron Butler,2003,2016,F,6-7,228,March 13  1980,University of Connecticut
Jimmy Butler,2012,2016,G-F,6-7,220,September 14  1989,Marquette University
Rasual Butler,2003,2016,G-F,6-7,215,May 23  1979,La Salle University
Dwight Buycks,2014,2015,G,6-3,190,March 6  1989,Marquette University
Derrick Byars,2012,2012,F,6-7,220,April 25  1984,Vanderbilt University
Andrew Bynum,2006,2014,C,7-0,285,October 27  1987,
Will Bynum,2006,2015,G,6-0,185,January 4  1983,Georgia Institute of Technology
Bruno Caboclo,2015,2016,F,6-9,205,September 21  1995,
Nick Calathes,2014,2015,G,6-6,213,February 7  1989,University of Florida
Jose Calderon,2006,2016,G,6-3,200,September 28  1981,
Kentavious Caldwell-Pope,2014,2016,G,6-5,205,February 18  1993,University of Georgia
Isaiah Canaan,2014,2016,G,6-0,201,May 21  1991,Murray State University
Clint Capela,2015,2016,C,6-10,240,May 18  1994,
