Season,Team,av_salary
2002-03,"Atlanta Hawks",3095086.05555556
2002-03,"Boston Celtics",4042168.84615385
2002-03,"Chicago Bulls",2619476.17647059
2002-03,"Cleveland Cavaliers",3307363.2
2002-03,"Dallas Mavericks",4052239.77777778
2002-03,"Denver Nuggets",2584695.21052632
2002-03,"Detroit Pistons",2986118.0
2002-03,"Golden State Warriors",2983607.1875
2002-03,"Houston Rockets",3336324.33333333
2002-03,"Indiana Pacers",3819451.64285714
2002-03,"Los Angeles Clippers",2386432.05555556
2002-03,"Los Angeles Lakers",4510798.71428571
2002-03,"Memphis Grizzlies",3588774.82352941
2002-03,"Miami Heat",3825221.73333333
2002-03,"Milwaukee Bucks",4142510.85714286
2002-03,"Minnesota Timberwolves",3967920.06666667
2002-03,"New Jersey Nets",3775807.4375
2002-03,"New Orleans Hornets",3175634.42857143
2002-03,"New York Knicks",5497198.76470588
2002-03,"Orlando Magic",3152209.125
2002-03,"Philadelphia 76ers",4298201.93333333
2002-03,"Phoenix Suns",3944648.57142857
2002-03,"Portland Trail Blazers",6211509.23529412
2002-03,"Sacramento Kings",4694439.73333333
2002-03,"San Antonio Spurs",3545503.93333333
2002-03,"Seattle SuperSonics",4089806.07692308
2002-03,"Toronto Raptors",2916221.42105263
2002-03,"Utah Jazz",3183414.3125
2002-03,"Washington Wizards",2457431.05263158
2003-04,"Atlanta Hawks",4606952.85714286
2003-04,"Boston Celtics",4012394.33333333
2003-04,"Chicago Bulls",3468112.3125
2003-04,"Cleveland Cavaliers",2886654.5
2003-04,"Dallas Mavericks",5654985.14285714
2003-04,"Denver Nuggets",2462415.375
2003-04,"Detroit Pistons",3562855.6
2003-04,"Golden State Warriors",2965372.66666667
2003-04,"Houston Rockets",3258907.64705882
2003-04,"Indiana Pacers",3877082.4
2003-04,"Los Angeles Clippers",2583162.13333333
2003-04,"Los Angeles Lakers",4274872.33333333
2003-04,"Memphis Grizzlies",3586145.1875
2003-04,"Miami Heat",2785257.29411765
2003-04,"Milwaukee Bucks",3326864.125
2003-04,"Minnesota Timberwolves",4751469.46666667
2003-04,"New Jersey Nets",3352480.15789474
2003-04,"New Orleans Hornets",3320013.6
2003-04,"New York Knicks",5261460.0
2003-04,"Orlando Magic",2662548.36842105
2003-04,"Philadelphia 76ers",3740462.5
2003-04,"Phoenix Suns",4780840.71428571
2003-04,"Portland Trail Blazers",5184798.0
2003-04,"Sacramento Kings",4883773.28571429
2003-04,"San Antonio Spurs",2904004.0
2003-04,"Seattle SuperSonics",3489831.73333333
2003-04,"Toronto Raptors",3707837.82352941
2003-04,"Utah Jazz",2171729.625
2003-04,"Washington Wizards",3263064.42857143
2004-05,"Atlanta Hawks",2566226.0
2004-05,"Boston Celtics",3798668.0
2004-05,"Charlotte Bobcats",1495161.125
2004-05,"Chicago Bulls",2934581.21052632
2004-05,"Cleveland Cavaliers",3278351.6
2004-05,"Dallas Mavericks",5406379.0
2004-05,"Denver Nuggets",3265463.0
2004-05,"Detroit Pistons",3422655.0625
2004-05,"Golden State Warriors",3662914.86666667
2004-05,"Houston Rockets",3767768.9375
2004-05,"Indiana Pacers",3477093.68421053
2004-05,"Los Angeles Clippers",3248804.64285714
2004-05,"Los Angeles Lakers",4337273.2
2004-05,"Memphis Grizzlies",3941813.52941176
2004-05,"Miami Heat",3720220.5625
2004-05,"Milwaukee Bucks",2872412.3
2004-05,"Minnesota Timberwolves",5394108.53846154
2004-05,"New Jersey Nets",3665598.66666667
2004-05,"New Orleans Hornets",3325881.88235294
2004-05,"New York Knicks",6410471.1875
2004-05,"Orlando Magic",4429683.26666667
2004-05,"Philadelphia 76ers",3997326.55555556
2004-05,"Phoenix Suns",2973245.46666667
2004-05,"Portland Trail Blazers",4921841.70588235
2004-05,"Sacramento Kings",4754437.53846154
2004-05,"San Antonio Spurs",3365631.85714286
2004-05,"Seattle SuperSonics",3588086.73333333
2004-05,"Toronto Raptors",3427987.5
2004-05,"Utah Jazz",2901050.66666667
2004-05,"Washington Wizards",3319803.33333333
2005-06,"Atlanta Hawks",2862970.2
2005-06,"Boston Celtics",3347488.23529412
2005-06,"Charlotte Bobcats",2230595.46666667
2005-06,"Chicago Bulls",3362737.05882353
2005-06,"Cleveland Cavaliers",3420264.13333333
2005-06,"Dallas Mavericks",4922741.6
2005-06,"Denver Nuggets",3766144.8
2005-06,"Detroit Pistons",3726204.6875
2005-06,"Golden State Warriors",4079611.85714286
2005-06,"Houston Rockets",3297971.61904762
2005-06,"Indiana Pacers",4924486.1875
2005-06,"Los Angeles Clippers",3021096.76470588
2005-06,"Los Angeles Lakers",4289290.88235294
2005-06,"Memphis Grizzlies",3972090.47058824
2005-06,"Miami Heat",3374025.11111111
2005-06,"Milwaukee Bucks",3707206.70588235
2005-06,"Minnesota Timberwolves",3435010.33333333
2005-06,"New Jersey Nets",4153084.375
2005-06,"New Orleans/Oklahoma City Hornets",2741791.06666667
2005-06,"New York Knicks",6664794.63157895
2005-06,"Orlando Magic",4736548.875
2005-06,"Philadelphia 76ers",4463542.10526316
2005-06,"Phoenix Suns",3154238.88235294
2005-06,"Portland Trail Blazers",3751122.75
2005-06,"Sacramento Kings",4831690.38461538
2005-06,"San Antonio Spurs",4192548.2
2005-06,"Seattle SuperSonics",3078336.1875
2005-06,"Toronto Raptors",3671287.29411765
2005-06,"Utah Jazz",3824860.13333333
2005-06,"Washington Wizards",3637063.13333333
