Season,Team,var_salary
2002-03,"Atlanta Hawks",14523762470606.0
2002-03,"Boston Celtics",19362982039314.3
2002-03,"Chicago Bulls",7819385982100.14
2002-03,"Cleveland Cavaliers",9455135831035.09
2002-03,"Dallas Mavericks",14161166138559.3
2002-03,"Denver Nuggets",20470598613996.1
2002-03,"Detroit Pistons",4044081844623.75
2002-03,"Golden State Warriors",8689507861152.15
2002-03,"Houston Rockets",6743516702081.95
2002-03,"Indiana Pacers",10832892037863.7
2002-03,"Los Angeles Clippers",2080808987803.39
2002-03,"Los Angeles Lakers",37264696851757.0
2002-03,"Memphis Grizzlies",9841689246595.32
2002-03,"Miami Heat",32312646692950.1
2002-03,"Milwaukee Bucks",13953366256417.4
2002-03,"Minnesota Timberwolves",38249751703157.1
2002-03,"New Jersey Nets",16910695027982.1
2002-03,"New Orleans Hornets",6188241674277.82
2002-03,"New York Knicks",18609137476379.1
2002-03,"Orlando Magic",12510118685357.9
2002-03,"Philadelphia 76ers",17347240105058.3
2002-03,"Phoenix Suns",19474367764376.5
2002-03,"Portland Trail Blazers",32962773410846.2
2002-03,"Sacramento Kings",15247907168185.1
2002-03,"San Antonio Spurs",15339436304049.5
2002-03,"Seattle SuperSonics",13049997930771.0
2002-03,"Toronto Raptors",11423407084959.1
2002-03,"Utah Jazz",22617601808173.0
2002-03,"Washington Wizards",3552044426852.89
2003-04,"Atlanta Hawks",19924629619490.1
2003-04,"Boston Celtics",16150788852953.4
2003-04,"Chicago Bulls",9012522476334.84
2003-04,"Cleveland Cavaliers",10025266317190.6
2003-04,"Dallas Mavericks",21620530359651.6
2003-04,"Denver Nuggets",4557002142174.11
2003-04,"Detroit Pistons",3607355369797.84
2003-04,"Golden State Warriors",9006235319055.11
2003-04,"Houston Rockets",9385390214461.64
2003-04,"Indiana Pacers",11780678989721.4
2003-04,"Los Angeles Clippers",7198342546893.99
2003-04,"Los Angeles Lakers",40443875692318.1
2003-04,"Memphis Grizzlies",5325316592443.28
2003-04,"Miami Heat",16803059019134.8
2003-04,"Milwaukee Bucks",9838182413743.73
2003-04,"Minnesota Timberwolves",51286672870760.1
2003-04,"New Jersey Nets",16593400377214.0
2003-04,"New Orleans Hornets",9493740549394.37
2003-04,"New York Knicks",21027420810690.5
2003-04,"Orlando Magic",14587580641721.7
2003-04,"Philadelphia 76ers",13769904284176.5
2003-04,"Phoenix Suns",24973962262865.3
2003-04,"Portland Trail Blazers",30160827782073.9
2003-04,"Sacramento Kings",22604211430521.9
2003-04,"San Antonio Spurs",10636713612707.7
2003-04,"Seattle SuperSonics",11998318474900.5
2003-04,"Toronto Raptors",12904258815652.4
2003-04,"Utah Jazz",6222562271640.48
2003-04,"Washington Wizards",6211708888239.39
2004-05,"Atlanta Hawks",11917703025064.5
2004-05,"Boston Celtics",10782242610717.5
2004-05,"Charlotte Bobcats",2049493052942.86
2004-05,"Chicago Bulls",7924878289402.27
2004-05,"Cleveland Cavaliers",10512095925697.2
2004-05,"Dallas Mavericks",15450977265477.8
2004-05,"Denver Nuggets",8282842706737.71
2004-05,"Detroit Pistons",8289930116067.68
2004-05,"Golden State Warriors",5976231355999.58
2004-05,"Houston Rockets",12245404814217.4
2004-05,"Indiana Pacers",13711796656015.3
2004-05,"Los Angeles Clippers",12350088009181.1
2004-05,"Los Angeles Lakers",19806111807512.6
2004-05,"Memphis Grizzlies",6262676258931.78
2004-05,"Miami Heat",47483244741494.1
2004-05,"Milwaukee Bucks",10307312951573.7
2004-05,"Minnesota Timberwolves",24029336908576.1
2004-05,"New Jersey Nets",27845022235253.0
2004-05,"New Orleans Hornets",13631823069401.8
2004-05,"New York Knicks",29051551784223.7
2004-05,"Orlando Magic",17015559448677.4
2004-05,"Philadelphia 76ers",14767184793561.6
2004-05,"Phoenix Suns",11699587376038.2
2004-05,"Portland Trail Blazers",23116946131722.1
2004-05,"Sacramento Kings",24644730781937.2
2004-05,"San Antonio Spurs",13629942996201.3
2004-05,"Seattle SuperSonics",13799699448941.4
2004-05,"Toronto Raptors",10558686796627.5
2004-05,"Utah Jazz",8041724037763.02
2004-05,"Washington Wizards",12060165449973.0
2005-06,"Atlanta Hawks",9226989578743.76
2005-06,"Boston Celtics",13755394221243.9
2005-06,"Charlotte Bobcats",2047345569489.45
2005-06,"Chicago Bulls",11146538922903.2
2005-06,"Cleveland Cavaliers",8589419489727.05
2005-06,"Dallas Mavericks",24648947270509.7
2005-06,"Denver Nuggets",9509743818461.09
2005-06,"Detroit Pistons",9395287119386.09
2005-06,"Golden State Warriors",14809703181515.8
2005-06,"Houston Rockets",11935047078373.9
2005-06,"Indiana Pacers",14662942373207.5
2005-06,"Los Angeles Clippers",12136329196388.5
2005-06,"Los Angeles Lakers",23639754935758.0
2005-06,"Memphis Grizzlies",15637327603103.9
2005-06,"Miami Heat",21475003703698.8
2005-06,"Milwaukee Bucks",11242081446120.8
2005-06,"Minnesota Timberwolves",18765143871335.1
2005-06,"New Jersey Nets",23254079732496.2
2005-06,"New Orleans/Oklahoma City Hornets",4767000481102.46
2005-06,"New York Knicks",33527496693768.2
2005-06,"Orlando Magic",20386859387976.5
2005-06,"Philadelphia 76ers",28950547569726.9
2005-06,"Phoenix Suns",13576486974321.5
2005-06,"Portland Trail Blazers",14067276136349.8
2005-06,"Sacramento Kings",12175919670243.9
2005-06,"San Antonio Spurs",16422679246073.8
2005-06,"Seattle SuperSonics",11237872587806.4
2005-06,"Toronto Raptors",11417354664245.6
2005-06,"Utah Jazz",12803977517756.5
2005-06,"Washington Wizards",13950875688360.7
2006-07,"Atlanta Hawks",8948396694157.57
2006-07,"Boston Celtics",19016500374285.8
2006-07,"Charlotte Bobcats",2572951749186.44
2006-07,"Chicago Bulls",14194441984532.9
2006-07,"Cleveland Cavaliers",12646390000750.3
2006-07,"Dallas Mavericks",23019613297479.3
2006-07,"Denver Nuggets",24405458039343.4
2006-07,"Detroit Pistons",11949758559271.7
2006-07,"Golden State Warriors",15806709500119.1
2006-07,"Houston Rockets",19082312934059.6
2006-07,"Indiana Pacers",19520145594045.3
2006-07,"Los Angeles Clippers",12812199037670.5
2006-07,"Los Angeles Lakers",28323822848865.0
2006-07,"Memphis Grizzlies",17816629379579.2
2006-07,"Miami Heat",23030592784718.7
2006-07,"Milwaukee Bucks",12102061413702.2
2006-07,"Minnesota Timberwolves",24547052365938.4
2006-07,"New Jersey Nets",28798470693457.2
2006-07,"New Orleans/Oklahoma City Hornets",10540731565213.9
2006-07,"New York Knicks",23836519522505.7
2006-07,"Orlando Magic",14495583272266.6
2006-07,"Philadelphia 76ers",19262291003912.1
2006-07,"Phoenix Suns",21202841177404.5
2006-07,"Portland Trail Blazers",14919729242608.6
2006-07,"Sacramento Kings",13339573825152.9
2006-07,"San Antonio Spurs",18047292137133.4
2006-07,"Seattle SuperSonics",14760585289768.1
2006-07,"Toronto Raptors",3583372322175.5
2006-07,"Utah Jazz",14532181938994.9
2006-07,"Washington Wizards",16838975253430.6
2007-08,"Atlanta Hawks",18484969145792.1
2007-08,"Boston Celtics",54718138872926.4
2007-08,"Charlotte Bobcats",10144855367415.8
2007-08,"Chicago Bulls",13170489866215.4
2007-08,"Cleveland Cavaliers",24539180225543.1
2007-08,"Dallas Mavericks",43302685678558.4
2007-08,"Denver Nuggets",33358583402654.2
2007-08,"Detroit Pistons",15052119645065.0
2007-08,"Golden State Warriors",16297821164631.5
2007-08,"Houston Rockets",23573545225664.3
2007-08,"Indiana Pacers",25075516971000.3
2007-08,"Los Angeles Clippers",16570510583554.2
2007-08,"Los Angeles Lakers",32827982477027.9
2007-08,"Memphis Grizzlies",8197415306776.36
2007-08,"Miami Heat",21951010372866.2
2007-08,"Milwaukee Bucks",14373260207063.0
2007-08,"Minnesota Timberwolves",7955657949029.22
2007-08,"New Jersey Nets",13166811856182.3
2007-08,"New Orleans Hornets",13327591542789.1
2007-08,"New York Knicks",23791953478625.5
2007-08,"Orlando Magic",11871057606494.2
2007-08,"Philadelphia 76ers",21355971355723.1
2007-08,"Phoenix Suns",36206714780721.0
2007-08,"Portland Trail Blazers",16068711696392.1
2007-08,"Sacramento Kings",8127047496573.89
2007-08,"San Antonio Spurs",22577148864664.7
2007-08,"Seattle SuperSonics",3636739891955.31
2007-08,"Toronto Raptors",9156863068128.24
2007-08,"Utah Jazz",15737538254186.5
2007-08,"Washington Wizards",21462124074415.5
2008-09,"Atlanta Hawks",21978672443018.8
2008-09,"Boston Celtics",64949048699941.9
2008-09,"Charlotte Bobcats",11237604153622.3
2008-09,"Chicago Bulls",12364658833120.0
2008-09,"Cleveland Cavaliers",25875494924566.4
2008-09,"Dallas Mavericks",38937580938351.0
