Season,Tm,avg(age)
1982-83,SDC,21.0
1983-84,DAL,23.0
1983-84,SDC,22.0
1984-85,ATL,22.5
1984-85,CHI,21.0
1984-85,CLE,24.0
1984-85,DAL,23.5
1984-85,HOU,22.0
1984-85,KCK,22.0
1984-85,LAC,23.0
1984-85,MIL,23.5
1984-85,PHI,21.0
1984-85,POR,22.0
1984-85,TOT,24.0
1984-85,UTA,22.0
1985-86,ATL,23.5
1985-86,CHI,22.0
1985-86,CLE,25.0
1985-86,DAL,23.5
1985-86,GSW,22.0
1985-86,HOU,23.0
1985-86,LAC,22.5
1985-86,LAL,22.0
1985-86,MIL,24.0
1985-86,NYK,23.0
1985-86,PHI,22.0
1985-86,POR,22.5
1985-86,SAC,23.5
1985-86,SAS,23.0
1985-86,UTA,22.5
1986-87,ATL,24.5
1986-87,CHI,23.0
1986-87,CLE,24.0
1986-87,DAL,24.0
1986-87,DET,23.5
1986-87,GSW,23.0
1986-87,HOU,24.0
1986-87,IND,22.0
1986-87,LAC,23.5
1986-87,LAL,23.0
1986-87,MIL,25.0
1986-87,NYK,24.0
1986-87,PHI,23.0
1986-87,PHO,23.0
1986-87,POR,23.5
1986-87,SAC,24.5
1986-87,SAS,24.0
1986-87,SEA,26.0
1986-87,TOT,24.0
1986-87,UTA,23.0
1987-88,ATL,25.5
1987-88,CHI,23.0
1987-88,CLE,23.6666666666667
1987-88,DAL,25.0
1987-88,DET,24.5
1987-88,GSW,24.0
1987-88,HOU,25.0
1987-88,IND,22.5
1987-88,LAC,24.5
1987-88,LAL,24.0
1987-88,MIL,26.0
1987-88,NYK,23.6666666666667
1987-88,PHI,24.0
1987-88,PHO,24.0
1987-88,POR,24.5
1987-88,SAC,25.5
1987-88,SEA,23.6666666666667
1987-88,TOT,24.3333333333333
1987-88,UTA,24.5
1987-88,WSB,23.0
1988-89,ATL,27.0
1988-89,BOS,24.5
1988-89,CHH,23.0
1988-89,CHI,23.5
1988-89,CLE,24.0
1988-89,DAL,26.0
1988-89,DET,25.5
1988-89,GSW,23.6666666666667
1988-89,HOU,26.0
1988-89,IND,23.75
1988-89,LAC,23.0
1988-89,LAL,25.0
1988-89,MIA,22.5
1988-89,MIL,27.0
1988-89,NYK,24.2
1988-89,PHI,24.0
1988-89,PHO,24.125
1988-89,POR,24.6666666666667
1988-89,SAC,24.5
1988-89,SAS,23.0
1988-89,SEA,24.8
1988-89,TOT,26.5
1988-89,UTA,25.5
1989-90,ATL,26.3333333333333
1989-90,BOS,28.0
1989-90,CHH,23.6
1989-90,CHI,24.0
1989-90,CLE,23.75
1989-90,DAL,27.0
1989-90,DET,26.5
1989-90,GSW,24.3333333333333
1989-90,HOU,26.0
1989-90,IND,24.2
1989-90,LAC,24.5
1989-90,LAL,23.5
1989-90,MIA,22.8
1989-90,MIN,25.0
1989-90,NJN,22.75
1989-90,NYK,25.2
1989-90,ORL,22.0
1989-90,PHI,24.5
1989-90,PHO,24.7142857142857
1989-90,POR,25.0
