season,team,av_exp
1995-96,ATL,4.1
1995-96,BOS,2.0
1995-96,CHH,2.18181818181818
1995-96,CHI,5.1
1995-96,CLE,3.5
1995-96,DAL,2.6
1995-96,DEN,3.7
1995-96,DET,3.88888888888889
1995-96,GSW,2.66666666666667
1995-96,HOU,4.11111111111111
1995-96,IND,4.375
1995-96,LAC,2.22222222222222
1995-96,LAL,3.1
1995-96,MIA,3.08333333333333
1995-96,MIL,5.77777777777778
1995-96,MIN,3.72727272727273
1995-96,NJN,3.55555555555556
1995-96,NYK,2.9
1995-96,ORL,4.57142857142857
1995-96,PHI,3.625
1995-96,PHO,4.09090909090909
1995-96,POR,3.57142857142857
1995-96,SAC,3.55555555555556
1995-96,SAS,5.375
1995-96,SEA,6.42857142857143
1995-96,TOR,3.125
1995-96,TOT,3.66666666666667
1995-96,UTA,4.44444444444444
1995-96,VAN,3.42857142857143
1995-96,WSB,2.25
1996-97,ATL,4.5
1996-97,BOS,2.54545454545455
1996-97,CHH,2.84615384615385
1996-97,CHI,5.66666666666667
1996-97,CLE,3.81818181818182
1996-97,DAL,3.46666666666667
1996-97,DEN,4.16666666666667
1996-97,DET,3.90909090909091
1996-97,GSW,3.33333333333333
1996-97,HOU,3.2
1996-97,IND,4.09090909090909
1996-97,LAC,2.8
1996-97,LAL,4.42857142857143
1996-97,MIA,2.08333333333333
1996-97,MIL,5.66666666666667
1996-97,MIN,3.16666666666667
1996-97,NJN,4.58333333333333
1996-97,NYK,1.88888888888889
1996-97,ORL,5.11111111111111
1996-97,PHI,3.66666666666667
1996-97,PHO,5.33333333333333
1996-97,POR,3.25
1996-97,SAC,3.55555555555556
1996-97,SAS,4.66666666666667
1996-97,SEA,7.55555555555556
1996-97,TOR,3.36363636363636
1996-97,TOT,4.0
1996-97,UTA,4.75
1996-97,VAN,2.33333333333333
1996-97,WSB,4.0
1997-98,ATL,4.36363636363636
1997-98,BOS,2.0
1997-98,CHH,5.0
1997-98,CHI,6.33333333333333
1997-98,CLE,2.36363636363636
1997-98,DAL,3.84615384615385
1997-98,DEN,2.54545454545455
1997-98,DET,3.09090909090909
1997-98,GSW,4.05882352941176
1997-98,HOU,4.0
1997-98,IND,5.0
1997-98,LAC,2.75
1997-98,LAL,4.0
1997-98,MIA,3.52941176470588
1997-98,MIL,5.27272727272727
1997-98,MIN,5.07692307692308
1997-98,NJN,5.72727272727273
1997-98,NYK,4.90909090909091
1997-98,ORL,5.36363636363636
1997-98,PHI,4.52631578947368
1997-98,PHO,6.63636363636364
1997-98,POR,3.2
1997-98,SAC,3.81818181818182
1997-98,SAS,6.0
1997-98,SEA,8.27272727272727
1997-98,TOR,1.73684210526316
1997-98,TOT,4.02439024390244
1997-98,UTA,4.6
1997-98,VAN,4.81818181818182
1997-98,WAS,4.72727272727273
1998-99,ATL,5.90909090909091
1998-99,BOS,2.83333333333333
1998-99,CHH,6.25
1998-99,CHI,5.23076923076923
1998-99,CLE,3.6875
1998-99,DAL,4.0
1998-99,DEN,2.45454545454545
