Team\Season,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
ATL,27.3809523809524,26.695652173913,28.0,24.1333333333333,24.6315789473684,25.125,25.1333333333333,26.5714285714286,27.4705882352941,29.3125,26.8888888888889,26.1111111111111,27.0,26.8
BOS,28.0588235294118,26.4736842105263,26.2,24.9444444444444,24.75,28.4666666666667,26.8125,28.0,27.9047619047619,28.2352941176471,27.45,25.6842105263158,26.1818181818182,24.6
BRK,,,,,,,,,,,27.5294117647059,28.8421052631579,27.5263157894737,26.0666666666667
CHA,,,25.4736842105263,25.0625,26.9444444444444,27.4666666666667,25.9166666666667,27.2631578947368,26.8421052631579,26.1875,26.2222222222222,26.1578947368421,,
CHH,,,,,,,,,,,,,,
CHI,25.1333333333333,27.2380952380952,26.0666666666667,25.5789473684211,26.0,25.3684210526316,26.5789473684211,26.9444444444444,27.4666666666667,28.0,28.0,27.75,28.2857142857143,27.6666666666667
CHO,,,,,,,,,,,,,26.1176470588235,25.6
CLE,24.3571428571429,25.047619047619,26.3125,26.5882352941176,27.4666666666667,27.7391304347826,26.75,27.0555555555556,26.2105263157895,25.1904761904762,24.9473684210526,24.5238095238095,27.95,28.5333333333333
DAL,28.7647058823529,28.0714285714286,27.4375,27.3125,28.3125,28.2,27.75,29.3333333333333,28.4444444444444,29.4375,28.6086956521739,28.2,28.5789473684211,29.0
DEN,25.2857142857143,26.0666666666667,27.1176470588235,27.7368421052632,26.7222222222222,27.0588235294118,28.0,27.6153846153846,27.2105263157895,25.7647058823529,24.7333333333333,26.0,25.85,25.75
DET,29.0,28.2941176470588,28.3529411764706,27.4705882352941,28.3333333333333,27.8947368421053,27.4,26.8571428571429,27.2307692307692,27.0714285714286,25.875,25.6,27.0,26.0666666666667
GSW,25.1875,27.9444444444444,26.3888888888889,24.6,24.9,25.5,24.2941176470588,26.35,25.8235294117647,25.7,25.125,26.3333333333333,26.7333333333333,27.0
HOU,25.6,28.9411764705882,29.7391304347826,28.0952380952381,27.4666666666667,27.4285714285714,28.1764705882353,25.952380952381,25.85,25.7894736842105,24.3,25.3888888888889,26.65,27.0625
IND,26.0,26.4666666666667,27.5,27.25,26.6315789473684,26.25,26.7142857142857,26.4666666666667,26.1333333333333,26.6,25.8125,27.1764705882353,27.8125,25.9285714285714
KCK,,,,,,,,,,,,,,
LAC,25.3333333333333,26.3529411764706,26.5555555555556,27.2222222222222,26.8947368421053,27.7,26.8947368421053,27.0526315789474,26.2352941176471,27.2222222222222,29.1333333333333,28.55,28.05,28.875
LAL,27.4285714285714,28.2941176470588,26.0625,25.3529411764706,25.7142857142857,26.0526315789474,26.25,27.6153846153846,29.0625,27.7647058823529,28.25,27.2631578947368,25.8888888888889,27.0666666666667
MEM,24.4117647058824,25.625,25.6666666666667,27.375,26.3333333333333,25.1578947368421,24.8,25.0,25.4736842105263,26.5294117647059,25.5,26.8888888888889,27.6842105263158,28.6842105263158
