Team,Franchise,Lg,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ,
ATL,Atlanta Hawks,NBA,1950,2016,67,5279,2633,2646,.499,44,11,0,1,
BOS,Boston Celtics,NBA/BAA,1947,2016,70,5451,3205,2246,.588,52,30,9,17,
NJN,Brooklyn Nets,NBA/ABA,1968,2016,49,3948,1727,2221,.437,26,5,2,2,
CHA,Charlotte Hornets,NBA,1989,2016,26,2055,895,1160,.436,9,0,0,0,
CHI,Chicago Bulls,NBA,1967,2016,50,4021,2100,1921,.522,34,9,6,6,
CLE,Cleveland Cavaliers,NBA,1971,2016,46,3694,1709,1985,.463,19,4,2,0,
DAL,Dallas Mavericks,NBA,1981,2016,36,2877,1469,1408,.511,20,3,2,1,
DEN,Denver Nuggets,NBA/ABA,1968,2016,49,3948,1965,1983,.498,33,10,0,0,
DET,Detroit Pistons,NBA/BAA,1949,2016,68,5340,2599,2741,.487,40,11,5,3,
GSW,Golden State Warriors,NBA/BAA,1947,2016,70,5444,2565,2879,.471,31,8,2,4,
HOU,Houston Rockets,NBA,1968,2016,49,3943,2038,1905,.517,29,5,4,2,
IND,Indiana Pacers,NBA/ABA,1968,2016,49,3946,2016,1930,.511,31,9,1,3,
LAC,Los Angeles Clippers,NBA,1971,2016,46,3695,1451,2244,.393,11,2,0,0,
LAL,Los Angeles Lakers,NBA/BAA,1949,2016,68,5342,3229,2113,.604,60,32,18,16,
MEM,Memphis Grizzlies,NBA,1996,2016,21,1645,683,962,.415,8,0,0,0,
MIA,Miami Heat,NBA,1989,2016,28,2219,1151,1068,.519,18,11,5,3,
MIL,Milwaukee Bucks,NBA,1969,2016,48,3859,1971,1888,.511,28,13,2,1,
MIN,Minnesota Timberwolves,NBA,1990,2016,27,2138,835,1303,.391,8,1,0,0,
NOH,New Orleans Pelicans,NBA,2003,2016,14,1102,518,584,.470,6,1,0,0,
NYK,New York Knicks,NBA/BAA,1947,2016,70,5448,2692,2756,.494,42,8,4,2,
OKC,Oklahoma City Thunder,NBA,1968,2016,49,3941,2123,1818,.539,27,10,4,1,
ORL,Orlando Magic,NBA,1990,2016,27,2136,1050,1086,.492,14,5,2,0,
PHI,Philadelphia 76ers,NBA,1950,2016,67,5275,2724,2551,.516,47,11,5,3,
PHO,Phoenix Suns,NBA,1969,2016,48,3860,2113,1747,.547,29,6,2,0,
POR,Portland Trail Blazers,NBA,1971,2016,46,3696,1974,1722,.534,31,5,3,1,
SAC,Sacramento Kings,NBA/BAA,1949,2016,68,5340,2453,2887,.459,29,5,0,1,
SAS,San Antonio Spurs,NBA/ABA,1968,2016,49,3947,2362,1585,.598,43,20,6,5,
TOR,Toronto Raptors,NBA,1996,2016,21,1644,713,931,.434,7,3,0,0,
UTA,Utah Jazz,NBA,1975,2016,42,3366,1801,1565,.535,25,8,2,0,
WAS,Washington Wizards,NBA,1962,2016,55,4419,1986,2433,.449,27,7,4,1,
